lat,lng
40.10006658307142,30.800300346746894
40.10007658307141,30.800300346746894
40.100104664919186,30.80020721303015
40.10012723335057,30.80016966210394
40.10013133670093,30.799761966333676
40.1001559567979,30.79976464854269
40.1001436467505,30.799745873079587
40.10016211182072,30.799732462034513
40.100184680233056,30.79944010125189
40.1001928869266,30.799421325788785
40.100203794301585,30.79940516413228
40.100214052665464,30.799429304013415
40.100205845974465,30.799445397267505
40.100259189448195,30.799378342042132
40.100308429540675,30.799477583775683
40.10031868788877,30.799493677029773
40.100339204580344,30.79964656294362
40.100347411255264,30.799659973988696
40.10032894623535,30.799740440259143
40.100333049573514,30.799751169095202
40.10032894623535,30.79966265619771
40.09981581206391,30.79953381933865
40.0998076053249,30.799547230383723
40.09981786374851,30.799557959219783
40.099819915433045,30.799576734682887
40.099830173854805,30.79959014572796
40.09984453564268,30.79960623898205
40.09981581206391,30.79960087456402
40.099803501954995,30.799579416891902
40.09971733113035,30.799560641428798
40.09968245243219,30.799579416891902
40.099625005125674,30.799515043875545
40.09962090174478,30.799383615633815
40.09962090174478,30.799289738318294
40.0995470408464,30.799289738318294
40.099450611219495,30.799327289244502
40.09936443994791,30.799332653662532
40.09928647537005,30.79928169169125
40.09934597466124,30.799252187392085
40.09939726711187,30.79915562786755
40.099382905229575,30.799083208224147
40.099382905229575,30.798949097773402
40.09935418145593,30.79889813580212
40.09924749304765,30.79889813580212
40.099249544749384,30.798825716158717
40.09920645899991,30.79879352965054
40.099177735151784,30.79879352965054
40.099183890263134,30.79877207197842
40.099204407296874,30.79877207197842
40.09928647537005,30.79877743639645
40.09928647537005,30.798694287916987
40.09933161276813,30.798696970126002
40.09936443994791,30.798702334544032
40.09937059504237,30.79875597872433
40.09940137050625,30.798790847441524
40.09940752559734,30.79885522045788
40.099497800202926,30.79878816523251
40.09951693094604,30.798717305206537
40.09951487925235,30.79866366102624
40.099574378343796,30.798693165325403
40.099586688494156,30.79861538126397
40.099613360478926,30.798639521145105
40.09961541216964,30.798709258579493
40.09961541216964,30.798738762878656
40.09963798076331,30.79881118252206
40.099582585110944,30.7988728733294
40.099619515550856,30.79889969541955
40.09965439428126,30.79891578867364
40.09923790003839,30.798666343235254
40.09930560617258,30.798618063472986
40.09928303746868,30.798583194755793
40.09944922502209,30.7989265175097
40.09948820722895,30.79900430157113
40.09948820722895,30.79904721691537
40.0995128275586,30.799079403423548
40.099330196030635,30.7992510648005
40.099336351128166,30.799269840263605
40.09936097151278,30.799350306534052
40.099449194484464,30.799342259907007
40.09953741734177,30.7993047089808
40.09961948501331,30.799302026771784
40.09961948501331,30.79952465012002
40.099674880635625,30.799594387554407
40.0997179660885,30.799575612091303
40.10011804399069,30.799758002304316
40.10012009566616,30.79978214218545
40.10010461742959,30.799773773262814
40.099924069708855,30.799934705803707
40.09990560457403,30.799945434639767
40.099936379795935,30.799945434639767
40.09992612139018,30.79995884568484
40.099991110272796,30.799902084683936
40.100110107570764,30.799979868745368
40.100030092169185,30.799979868745368
40.100069074043255,30.799945000028174
40.099913146413,30.799861851548712
40.099913146413,30.799776020860236
40.09983928583187,30.799776020860236
40.0999008363217,30.799923542356055
40.099888526228206,30.79995304665522
40.09990493968575,30.799966457700293
40.09992545650207,30.799979868745368
